Company,City,Industry,Amount raised,Investors,Type of Financing,Quarter,What the co. does
"4th Media, Inc.","Denver, CO",Telecommunications,2000000,"Individuals, Matrix Partners",1,Q3/06,"Operates a wireless broadband services company."
"Abla-Tx, Inc.","Boulder, CO",Software,2000000,"Flagship Ventures , Sequel Venture Partners",2,Q3/06,"Develops software-based algorithm to monitor thermal ablation of tumors."
Aztek Networks (FKA: Aztek Engineering),"Boulder, CO",Networking and Equipment,6100000,"Grotech Capital Group, Sequel Venture Partners, Telecommunications Development Fund (TDF)",1,Q3/06,"Provides IP media gateway solutions."
"Clear Technology, Inc.","Westminster, CO",Software,5106200,"BV-Cornerstone Ventures, L.P., Grayhawk Venture Partners (FKA: Ironwood Capital), Individuals, Shoreline Venture Management, LLC, Sycamore Ventures, Undisclosed Corporate Investor, Undisclosed Investor",2,Q3/06,"Provides software solutions that capture business processing behaviors."
"Fluensee, Inc. (FKA: Applied Logistics)","Englewood, CO",Networking and Equipment,0,DFJ Mercury Venture Partners,2,Q3/06,"Develops and implements RFID-enabled solutions."
"Medium, Inc.","Boulder, CO",Software,585000,"Appian Ventures, Spark Capital",2,Q3/06,"Develops communication software."
"MX Logic, Inc.","Englewood, CO",Software,5000000,"Adams Street Partners LLC (FKA: Brinson Private Equity), Axiom Venture Partners, L.P., Grayhawk Venture Partners (FKA: Ironwood Capital), River Cities Capital Funds, UV Partners (AKA: Utah Ventures), Vista Ventures",4,Q3/06,"Develops managed email protection and security services."
"OpenLogic, Inc. (FKA: EJB Solutions, Inc.)","Broomfield, CO",Software,4300000,"Appian Ventures, Highway 12 Ventures, Management, Red Rock Ventures, UV Partners (AKA: Utah Ventures), Village Ventures",3,Q3/06,"Develops software tools for Open Source-based software development."
"Skoop Heavy Industries, Ltd.","Denver, CO",Software,3575000,"Draper Fisher Jurvetson (FKA: Draper Associates), Undisclosed Corporate Investor",1,Q3/06,"Develops systems and softwares."
"Tendril Networks, Inc.","Boulder, CO",Telecommunications,5250000,"Access Venture Partners, Appian Ventures, Undisclosed Non Venture Firm, Vista Ventures",3,Q3/06,"Provides services to bridge the gap between wireless sensors and networks."
"Tuscany Design Automation, Inc.","Fort Collins, CO",Software,510000,Flywheel Ventures,2,Q3/06,"Develops software solutions used to design complex integrated circuits."
"Umbria Communications, Inc.","Boulder, CO",Business Products and Services,2500000,"ArrowPath Venture Capital (FKA: E*TRADE Group, Inc.), Sequel Venture Partners, Vista Ventures",2,Q3/06,"Provides market research information."
"XAware, Inc.","Colorado Springs, CO",Software,3000000,"Gefinor Ventures (FKA: Inman Ventures), ITU Ventures, Sequel Venture Partners, vSpring Capital",5,Q3/06,"Provides XML-based integration software."
"ZettaCore, Inc.","Englewood, CO",Semiconductors,3000000,"Draper Fisher Jurvetson (FKA: Draper Associates), Kleiner Perkins Caufield & Byers, Oxford Bioscience Partners",6,Q3/06,"Develops molecular electronics."
"Blue Ridge Networks, Inc.","Chantilly, VA",Software,2000000,RedShift Ventures (FKA: SpaceVest Capital),5,Q3/06,"Provides network security products to businesses."
Brabeion Software Corporation,"McLean, VA",Software,5050000,"Longworth Venture Partners, L.P., TD Capital Group Ltd. (AKA: Toronto Dominion Capital), Undisclosed Venture Firm, Walker Ventures SBIC (AKA: Walker Ventures)",3,Q3/06,"Develops solutions in the area of Secuirty Compliance of IT Assets."
"Command Information, Inc.","Herndon, VA",Software,16000100,"Blue Water Capital LLC, Carlyle Group, The, Novak Biddle Venture Partners, L.P., Paladin Capital Management, LLC",2,Q3/06,"Develops Internet protocol version 6 (IPv6)."
Covega Corporation (FKA: Codeon Corporation),"Jessup, MD",Networking and Equipment,10000200,"Core Capital Partners, Intersouth Partners, Optical Capital Group , Siemens Venture Capital GmbH (AKA: SVC), Undisclosed Venture Firm",8,Q3/06,"'Manufactures optical components, modules and subsystems.'"
"CreateHope, Inc.","Washington, DC",Software,2200000,Advantage Capital Partners,3,Q3/06,"Provides software and services to the corporate philanthropy industry."
Cyren Call Communications Corporation,"McLean, VA",Telecommunications,4000000,"Battery Ventures, L.P., Columbia Capital LLC, New Enterprise Associates, Oak Investment Partners",1,Q3/06,"Provider of mobile wireless communications network for public safety."
"Digital Sandbox, Inc.","Herndon, VA",Software,575000,"Monumental Venture Partners LLC (AKA: MVP), Undisclosed Venture Firm",7,Q3/06,"Develops enterprise risk management strategies."
Digital Signal Corporation,"Alexandria, VA",Computers and Peripherals,200000,"Novak Biddle Venture Partners, L.P.",2,Q3/06,"Develops long range true 3-D facial recognition technologies."
"ETelemetry, Inc.","Annapolis, MD",Software,4000000,"Centripetal Capital Partners, Inc.",1,Q3/06,"Develops a network traffic management software."
"Exmplar, Inc. (FKA: Shop2U, Inc.)","Fairfax, VA",IT Services,2800000,"Individuals, Velocity Equity Partners LLC, Venture Capital Fund of New England, The, WWC Capital Group LLC",7,Q3/06,"Provides optimization services for e-mail and website marketers."
"Freewebs, Inc.","Silver Spring, MD",Telecommunications,11000000,"Columbia Capital LLC, Individuals, Novak Biddle Venture Partners, L.P.",1,Q3/06,"Provides a global online community of web publishers."
"Gridpoint, Inc.","Washington, DC",Electronics/Instrumentation,21000000,"Altira Group LLC, Goldman, Sachs & Co.",3,Q3/06,"Provides energy users with automatic backup power."
JackBe Corporation,"Chevy Chase, MD",Software,1600000,"Blue Chip Venture Company, Undisclosed Venture Firm",4,Q3/06,"Provides AJAX application development solutions."
"Managed Objects Solutions, Inc.","McLean, VA",Software,7000200,"Fidelity Ventures , Financial Technology Ventures (AKA: FT Ventures), Individuals, Intel Capital, JMI Equity, Lazard Technology Partners, Undisclosed Investor",6,Q3/06,"Provides Internet infrastructure management software."
"Netcordia, Inc.","Annapolis, MD",Networking and Equipment,10000000,"Novak Biddle Venture Partners, L.P., Trinity Ventures, Undisclosed Corporate Investor",2,Q3/06,"Provides network analysis and diagnostic tools."
"ObjectVideo, Inc. (FKA: DiamondBack Vision)","Reston, VA",Software,7999800,"@Ventures, ABS Ventures, Novak Biddle Venture Partners, L.P., TI Ventures (AKA: Texas Instruments Venture Capital Program), Undisclosed Investor, Updata Partners",9,Q3/06,"Provides intelligent video processing software."
"Paratek Microwave, Inc.","Columbia, MD",Telecommunications,10000000,"Morgenthaler Ventures, Novak Biddle Venture Partners, L.P., Polaris Venture Partners, Undisclosed Venture Firm",8,Q3/06,"Develops and manufactures radio frequency tunable components."
"Pay Rent, Built Credit, Inc. (DBA: PRBC)","Annapolis, MD",Software,2400000,"Omidyar Network, Total Technology Ventures LLC (AKA: TTV), Undisclosed Venture Firm",1,Q3/06,"Operates as an alternative credit bureau."
"Ruckus Network, Inc. (FKA: College Entertainment Network)","Herndon, VA",Telecommunications,13700000,"Battery Ventures, L.P., Eastward Capital, Pinnacle Ventures, Shelter Capital Partners LLC",3,Q3/06,"Develops and markets a digital media platform for the education community."
"ServiceBench, Inc. (FKA:Sideout Technologies, Inc.)","Fairfax, VA",Software,300000,"JMI Equity, NextGen Capital, LLC, Valhalla Partners",8,Q3/06,"Provides Web-based solutions for post-sale service transactions."
"SunRocket, Inc.","Vienna, VA",Telecommunications,33000200,"Anthem Capital Management, BlueRun Ventures (FKA: Nokia Venture Partners ), Bru Venture Capital hf. , DCM - Doll Capital Management, Grosvenor Funds, The, Mayfield Fund, Undisclosed Investor",4,Q3/06,"Operates as an Internet based telephony service."
"Telarix, Inc. (FKA: Emerging Technologies Group (ETG))","Vienna, VA",Software,3000000,"Edison Venture Fund, RedShift Ventures (FKA: SpaceVest Capital)",3,Q3/06,"Provides interconnect business optimization software."
"Verical, Inc.","Alexandria, VA",Semiconductors,100000,CIT GAP Fund (AKA: Center for Innovative Technology),1,Q3/06,"Develops authentication tools for surplus electronic components."
"Vision Chain, Inc.","Washington, DC",Software,1000000,"Novak Biddle Venture Partners, L.P.",4,Q3/06,"Develops and distributes category management software."
"Zenoss, Inc. (FKA: Zentinel, Inc.)","Annapolis, MD",Software,4944100,"Amplifier Venture Partners, Boulder Ventures, Ltd., Individuals, Intersouth Partners, Maryland DBED (AKA:Dept. of Business & Economic Development)",1,Q3/06,"Develops and distributes open source IT management tools."
Aristos Logic Corporation,"Foothill Ranch, CA",Networking and Equipment,15000000,"EMC Corporation, Panorama Capital, QTV Capital (FKA: Quantum Technology Partners), Seagate Technology Inc, TPG Ventures , Undisclosed Investor, Woodside Fund",7,Q3/06,"Develops solutions combining data technology with storage management."
"Authenticlick, Inc.","Los Angeles, CA",IT Services,500100,"ITU Ventures, Individuals",1,Q3/06,"'Identify, verify, and document sources of fraud.'"
"Boingo Wireless, Inc.","Santa Monica, CA",Telecommunications,65000000,"Evercore Partners, Mitsui & Co. Venture Partners (MCVP), New Enterprise Associates, Red Rock Ventures, Steelpoint Capital Partners, Sternhill Partners",4,Q3/06,"Provides wireless broadband Internet access."
"DATAllegro, Inc.","Aliso Viejo, CA",Software,22500000,"Adams Capital Management, Inc., Focus Ventures (FKA: Charter Growth Capital), Intel Capital, JAFCO Ventures, Palomar Ventures, Venrock Associates",3,Q3/06,"Provides price/performance data warehouse appliance."
"Incuity Software, Inc. (FKA: DataWorks Systems)","Mission Viejo, CA",Software,7300000,"American River Ventures, Palomar Ventures",1,Q3/06,"Develops industrial automation & real-time Business Intelligence software."
"InQ, Inc.","Agoura Hills, CA",Software,7745000,"Dolphin Equity Partners, Emergence Capital Partners, L.L.C., Undisclosed Venture Firm",4,Q3/06,"Provides after-sale live chat marketing for e-commerce companies."
"Make It Work, Inc.","Santa Barbara, CA",IT Services,384000,"Tech Coast Angels (AKA: TCA), Undisclosed Investor",2,Q3/06,"Provides onsite services and support for home computer users."
"Mavent, Inc.","Irvine, CA",Software,9999900,"Financial Technology Ventures (AKA: FT Ventures), Individuals",4,Q3/06,"Provides compliance management solutions for the mortgage industry."
"Microfabrica, Inc. (FKA: MEMGen Corporation)","Van Nuys, CA",Semiconductors,8000100,"Atherton Venture Partners, LLC, ChevronTexaco Technology Ventures LLC (CTTV Investments) , Draper Fisher Jurvetson (FKA: Draper Associates), DynaFund Ventures LLC, Partech International, Undisclosed Investor, Zone Ventures",4,Q3/06,"Develops micro-machining process technology."
"Mitrix, Inc.","Irvine, CA",Software,10000000,"CMEA Ventures (FKA:Chemicals & Materials Enterprise Associa), LogiSpring Management Company S.a.r.l. , Undisclosed Corporate Investor",1,Q3/06,"Provides On Demand Supply Chain Management (SCM) software."
"Mojix, Inc.","Los Angeles, CA",Telecommunications,3499900,"Individuals, InnoCal Venture Capital, Oak Investment Partners, Red Rock Ventures",2,Q3/06,"Develops digital signal processing products for wireless applications."
"MyShape, Inc.","Altadena, CA",Retailing/Distribution,545000,"Tech Coast Angels (AKA: TCA), Undisclosed Investor",1,Q3/06,"Operates an online apparel retail shop."
Newport Imaging Corporation,"Irvine, CA",Computers and Peripherals,5200000,"Palomar Ventures, Valley Ventures (FKA: Arizona Growth Partners, L.P.)",2,Q3/06,"Provides digital camera chipset products and services."
Nexsan Technologies,"Woodland Hills, CA",IT Services,0,RRE Ventures LLC,3,Q3/06,"Provides secure storage and data protection systems."
"PrivaSys, Inc.","Newbury Park, CA",Software,4539000,"Steelpoint Capital Partners, Undisclosed Investor",1,Q3/06,"Provides credit and security software services."
"SiliconSystems, Inc.","Aliso Viejo, CA",Semiconductors,2000000,"Miramar Venture Partners , Rustic Canyon Partners(FKA: TMCT Ventures, L.P.), Samsung Venture Investment Corporation (SVIC), Sandisk Corporation (FKA: Sundisk Corporation), Shepherd Ventures",3,Q3/06,"Designs and develops solid-state storage solutions for the OEM market."
"Strix Systems, Inc.","Calabasas Park, CA",Telecommunications,7000000,"Crosslink Capital (FKA: Omega Venture Partners), El Dorado Ventures, Palomar Ventures, UV Partners (AKA: Utah Ventures), Undisclosed Investor",10,Q3/06,"Develops wireless communications equipment for mobile Internet access."
"TC3 Health, Inc.","Costa Mesa, CA",Software,2400000,"JMI Equity, Ticonderoga Capital, Inc. (FKA: Dillon Read Venture Capital)",3,Q3/06,"Provides software solutions and services for medical claim payers."
"Teleflip, Inc.","Santa Monica, CA",Telecommunications,1558000,GRP Partners (AKA: Global Retail Partners),1,Q3/06,"Provides services for the distribution of E-mail via mobile phones."
"Ultra RPM, Inc.","Pasadena, CA",IT Services,650000,"Individuals, Undisclosed Investor",1,Q3/06,"Operates as an Internet-based acquiror of web services."
"Wispry, Inc.","Irvine, CA",Semiconductors,13460200,"American River Ventures, Blueprint Ventures LLC, Hotung International Company, Ltd., In-Q-Tel, Inc., L Capital Partners, Shepherd Ventures, Sid R. Bass Associates, LP, Tech Coast Angels (AKA: TCA), Undisclosed Corporate Investor",4,Q3/06,"Develops low-cost high-performance components and modules."
"Xirrus, Inc.","Westlake Village, CA",Networking and Equipment,200000,"August Capital Management, U.S. Venture Partners",2,Q3/06,"Provides wireless solutions to the enterprise."
"BPL Global, Ltd.","Pittsburgh, PA",Networking and Equipment,24999800,"Management, PA Early Stage (AKA: Pennsylvania Early Stage Partners), Undisclosed Corporate Investor, Undisclosed Investor",3,Q3/06,"Provides broadband over power lines (BPL) technologies."
"Construction Software Technologies, Inc. (DBA: ISqFt)","Cincinnati, OH",Software,1134000,River Cities Capital Funds,10,Q3/06,"Develops web-based construction software for general contractors."
"Duck Creek Technologies, Inc.","Bolivar, MO",Software,1000000,"Pequot Capital Management, Inc.",3,Q3/06,"Provides product life-cycle management software for the insurance industry."
"Handmark, Inc. (FKA: Palmspring Software)","Kansas City, MO",Telecommunications,5000000,"Apax Partners Worldwide, Borealis Ventures, Hanna Ventures, Motorola Ventures, Village Ventures",3,Q3/06,"Develops and distributes mobile content solutions."
"Integrated Mobile, Inc.","Columbus, OH",Software,5000000,"Enhanced Capital Partners, LLC",1,Q3/06,"Offers suite of software and services solutions."
"LogicLibrary, Inc.","Pittsburgh, PA",Software,564000,"Birchmere Ventures, Novak Biddle Venture Partners, L.P.",8,Q3/06,"Provides software and services that help develop software applications."
Mersive Technologies,"Lexington, KY",Software,1500000,"Adena Ventures, Undisclosed Corporate Investor, Undisclosed Venture Firm",1,Q3/06,"Produces software to calibrate multiple projectors into a single display."
"SoftGenetics, LLC","State College, PA",Software,250000,Undisclosed Venture Firm,1,Q3/06,"Develops software analysis tools for use by genetic researchers."
TimeSys Corporation,"Pittsburgh, PA",Software,793000,"Adams Capital Management, Inc., Undisclosed Investor",6,Q3/06,"Designs software products for advanced open platforms."
"Vibe Solutions Group, Inc.","Saint Louis, MO",Telecommunications,0,"ComVentures (AKA: Communications Ventures), Highland Capital Partners LLC",2,Q3/06,"Provides custom broadband video communication solutions."
"VoEx, Inc.","Grand Rapids, MI",Telecommunications,12000000,"EDF Ventures (FKA: Enterprise Development Fund), IVS A/S (AKA: Internet Ventures Scandinavia A/S), Kennet Venture Partners, Ltd. (FKA: Kennet Capital Ltd)",1,Q3/06,"Provides mission critical core network Voice over Internet Protocol (VoIP)."
"Waste Remedies, Inc.","Saint Louis, MO",Business Products and Services,8499900,"Advantage Capital Partners, Management, Undisclosed Investor",1,Q3/06,"Provides Waste Management Consulting services."
**CONFIDENTIAL**,"Tewksbury, MA",Semiconductors,5000000,"Highland Capital Partners LLC, IDG Ventures Boston, Undisclosed Investor",2,Q3/06,"**CONFIDENTIAL**"
**CONFIDENTIAL**,"Lexington, MA",Telecommunications,5750000,"Highland Capital Partners LLC, Undisclosed Venture Firm",1,Q3/06,"**CONFIDENTIAL**"
"Acinion, Inc.","Lexington, MA",Computers and Peripherals,5000100,"Globespan Capital Partners (FKA: JAFCO America Ventures), IDG Ventures Boston",1,Q3/06,"'Develops video servers for video distribution, hosting, and delivery.'"
Adesso Systems (FKA: thinkingBytes Technology),"Boston, MA",Software,1200000,"Carlyle Group, The",6,Q3/06,"Develops software solutions that enable people to organize information."
Anodyne Health Partners LLC,"Falmouth, ME",Software,5588000,"Brook Venture Partners, L.L.C., Brooke Private Equity Management LLC, Frontier Capital LLC, Individuals, Small Enterprise Growth Fund",1,Q3/06,"Provides revenue cycle solutions to healthcare provider organizations."
Ascentia Corporation,"Beverly, MA",Software,5000000,"Egan-Managed Capital, Point Judith Capital , Undisclosed Investor",1,Q3/06,"Develops horizontal asset lifecycle management software."
"Azimuth Systems, Inc. (FKA: Azimuth Networks)","Acton, MA",Telecommunications,5000000,"Kodiak Venture Partners, North Bridge Venture Partners, Undisclosed Investor, Undisclosed Venture Firm",4,Q3/06,"Provides wireless data communication test solutions."
"BEZ Systems, Inc.","Boston, MA",Software,2500000,"Ascent Venture Partners, Brooke Private Equity Management LLC, JMI Equity, MTDC (Massachusetts Technology Development Corp.) , Velocity Equity Partners LLC",3,Q3/06,"Develops Predictive Performance Management (PPM) solutions for businesses."
"Blueshift Technologies, Inc.","Andover, MA",Semiconductors,4000000,Intel Capital,3,Q3/06,"Designs and develops semiconductor automation equipment."
"Bradford Networks, Inc.","Concord, NH",Software,2000000,"Individuals, Windspeed Ventures",1,Q3/06,"Develops Security and Policy Solutions for Enterprise Networks."
"Carbon Design Systems, Inc.","Waltham, MA",Software,5000000,"Commonwealth Capital Ventures , Flagship Ventures , Matrix Partners",6,Q3/06,"Develops electronic design automation software."
"Carbonite, Inc.","Boston, MA",IT Services,3500000,"3i (US), CommonAngels",2,Q3/06,"Develops online backup solutions."
"Digit Wireless, Inc.","Lexington, MA",Telecommunications,3500000,"Individuals, Qualcomm Ventures, TELUS Ventures, Venrock Associates",2,Q3/06,"Provides mobile device interface solutions."
"Full Capture Solutions, Inc. (AKA: FCSI)","East Hartford, CT",Software,7000000,"Greylock Partners, Ignition Partners (FKA: Ignition Corporation)",3,Q3/06,"Develops solutions for the insurance industry."
"Gaterocket, Inc.","Bedford, MA",Semiconductors,650000,CommonAngels,2,Q3/06,"Designs FPGA based system."
"IBRIX, Inc.","Billerica, MA",Software,14000000,"JT Venture Partners, LLC, Undisclosed Venture Firm",4,Q3/06,"Provides application performance to enterprise computing environments."
"Idiom Technologies, Inc.","Waltham, MA",Software,4000000,"North Bridge Venture Partners, Undisclosed Venture Firm",6,Q3/06,"Provides enterprise globalization software and services."
"InvisibleCRM, Inc.","Boston, MA",Software,1500000,"AS Martinson Trigon Venture Partners (AKA: MTVP), Undisclosed Venture Firm",1,Q3/06,"Develops customer relationship management (CRM) applications."
"JumpTap, Inc.","Cambridge, MA",Telecommunications,22000000,"BCE Capital, General Catalyst Partners (FKA: General Catalyst Group LLC), Redpoint Ventures, Valhalla Partners",2,Q3/06,"'Provides end-to-end, carrier-branded mobile search solution.'"
"Liquid Machines, Inc.","Waltham, MA",Software,7500000,"Atlas Venture, Ltd., Draper Fisher Jurvetson New England (AKA: DFJ/NE), Goldman, Sachs & Co., Masthead Venture Partners , Undisclosed Investor, Undisclosed Venture Firm",5,Q3/06,"Develops enterprise and information security management software."
"Mall Networks, Inc.","Lexington, MA",Software,2000000,"IDG Ventures Boston, Undisclosed Non Venture Firm, Venture Capital Fund of New England, The",3,Q3/06,"Develops next-generation shopping portals for Online merchants."
Mintera Corporation,"Acton, MA",Telecommunications,10000300,"Court Square Ventures, LLC, Individuals, Polaris Venture Partners, Portview Communications Ltd, RRE Ventures LLC, SVM STAR Ventures Management, Undisclosed Investor",3,Q3/06,"Develops intelligent photonic transport solutions."
"Mobixell Networks, Inc.","Wellesley, MA",Telecommunications,8000000,"Apax Partners Worldwide, Intel Capital, Undisclosed Investor",5,Q3/06,"Provides a media aware mobile internet platform for wireless operators."
"Nexaweb Technologies, Inc.","Burlington, MA",Software,10000000,"Egan-Managed Capital, Masthead Venture Partners , Undisclosed Venture Firm, Velocity Equity Partners LLC",5,Q3/06,"Develops software for building and deploying Internet Applications."
"NitroSecurity, Inc.","Portsmouth, NH",Software,1964100,"Brookline Venture Partners, First Analysis Corporation",3,Q3/06,"Provides intrusion prevention solutions for enterprise networks."
RemoteReality Corporation (FKA: CycloVision Technologies),"Westborough, MA",Computers and Peripherals,7300000,"Chart Venture Partners, Undisclosed Venture Firm",4,Q3/06,"Develops panoramic video Web cameras and related software."
"Reflexis Systems, Inc.","Norwood, MA",Retailing/Distribution,10000000,"Pequot Capital Management, Inc.",1,Q3/06,"Develops integrated retail execution management solutions."
"RedTail Solutions, Inc. (FKA: Advance-com Corporation)","Westborough, MA",Software,1000000,"Venture Capital Fund of New England, The",5,Q3/06,"Provides software and services for the exchange of business transactions."
"Pragmatech Software, Inc.","Nashua, NH",Software,700000,"Kodiak Venture Partners, North Bridge Venture Partners",3,Q3/06,"Develops sales effectiveness software solutions."
"Polatis, Inc.","Billerica, MA",Networking and Equipment,1000000,"Flagship Ventures , Undisclosed Venture Firm",1,Q3/06,"Provides solutions for optical layer connectivity."
"Optasite, Inc.","Westborough, MA",Telecommunications,9999700,"Berkshires Capital Investors, Centennial Ventures, Columbia Capital LLC, Highland Capital Partners LLC, Kestrel Management LLC, Key Venture Partners, Mass Mutual Corporate Investors, Inc., Shepherd Group LLC, The, Undisclosed Investor, Worcester Capital P",9,Q3/06,"Provides telecommunications infrastructure and tower acquisition services."
"NitroSecurity, Inc.","Portsmouth, NH",Software,1964100,"Brookline Venture Partners, First Analysis Corporation",3,Q3/06,"Provides intrusion prevention solutions for enterprise networks."
"Nexaweb Technologies, Inc.","Burlington, MA",Software,10000000,"Egan-Managed Capital, Masthead Venture Partners , Undisclosed Venture Firm, Velocity Equity Partners LLC",5,Q3/06,"Develops software for building and deploying Internet Applications."
"Mobixell Networks, Inc.","Wellesley, MA",Telecommunications,8000000,"Apax Partners Worldwide, Intel Capital, Undisclosed Investor",5,Q3/06,"Provides a media aware mobile internet platform for wireless operators."
Mintera Corporation,"Acton, MA",Telecommunications,10000300,"Court Square Ventures, LLC, Individuals, Polaris Venture Partners, Portview Communications Ltd, RRE Ventures LLC, SVM STAR Ventures Management, Undisclosed Investor",3,Q3/06,"Develops intelligent photonic transport solutions."
"Mall Networks, Inc.","Lexington, MA",Software,2000000,"IDG Ventures Boston, Undisclosed Non Venture Firm, Venture Capital Fund of New England, The",3,Q3/06,"Develops next-generation shopping portals for Online merchants."
"Liquid Machines, Inc.","Waltham, MA",Software,7500000,"Atlas Venture, Ltd., Draper Fisher Jurvetson New England (AKA: DFJ/NE), Goldman, Sachs & Co., Masthead Venture Partners , Undisclosed Investor, Undisclosed Venture Firm",5,Q3/06,"Develops enterprise and information security management software."
"Compellent Technologies, Inc.","Eden Prairie, MN",IT Services,15000000,"Affinity Capital Management, Cargill Ventures, Centennial Ventures, Crescendo Venture Management LLC, El Dorado Ventures, Nomura International PLC, Undisclosed Venture Firm",5,Q3/06,"Develops modular storage solutions."
"Gearworks, Inc.","Eagan, MN",Software,3000000,"BlueStream Ventures, Concentric Equity Partners, L.P., Coral Capital Management, IGNITE Group, The (AKA: Ignite Associates, LLC), Undisclosed Investor",9,Q3/06,"Provides mobile workforce management software."
"Infobionics, Inc.","Saint Paul, MN",IT Services,0,"In-Q-Tel, Inc.",1,Q3/06,"Provides cellular database solution for data management and analysis."
"Ambric, Inc.","Beaverton, OR",Semiconductors,1300000,"ComVentures (AKA: Communications Ventures), OVP Venture Partners (FKA: Olympic Venture Partners)",4,Q3/06,"Provides electronics and semiconductors."
"Auctionpay, Inc.","Portland, OR",Software,5500000,"Appian Ventures, Maveron LLC",2,Q3/06,"Provides payment processing solutions for the non-profit industry."
"Avalara, Inc.","Bainbridge Island, WA",Software,1000000,"Benaroya Capital Company, Undisclosed Venture Firm",4,Q3/06,"Delivers scalable sales tax solutions through the web."
Avnera Corporation,"Beaverton, OR",Semiconductors,10614000,"Bessemer Venture Partners, Individuals, Intel Capital, JAFCO Ventures, Redpoint Ventures",3,Q3/06,"Develops low power semiconductors for wireless audio and video market."
"Callison Architecture, Inc.","Seattle, WA",Business Products and Services,0,Blue Point Capital Partners (FKA: Key Equity Capital),1,Q3/06,"Provides professional architectural and design services."
