Company,City,Industry,Amount raised,Investors,Type of Financing,Quarter,What the co. does
"Cequint, Inc.","Seattle, WA",Software,750000,"Benaroya Capital Company, Undisclosed Venture Firm",2,Q3/06,"Develops software and hardware applications for wireless mobile devices."
"Cozi Group, Inc. (FKA: Kasayka Corporation)","Seattle, WA",Software,1000000,"Benaroya Capital Company, Undisclosed Venture Firm",2,Q3/06,"Creates technology that would address the needs of family life."
Intrepid Learning Solutions,"Seattle, WA",Business Products and Services,180000,"Rustic Canyon Partners(FKA: TMCT Ventures, L.P.), Undisclosed Venture Firm",5,Q3/06,"Designs and develops instructor-led and e-learning services and courseware."
"Jobster, Inc.","Seattle, WA",Business Products and Services,18000000,"Ignition Partners (FKA: Ignition Corporation), Mayfield Fund, Reed Elsevier Ventures, Trinity Ventures",4,Q3/06,"Develops online recruiting tools and services."
Kryptiq Corporation,"Hillsboro, OR",Software,6573000,"Shelter Capital Partners LLC, SmartForest Ventures , Undisclosed Corporate Investor, Undisclosed Investor, Voyager Capital",3,Q3/06,"Provides middleware platforms for automating healthcare workflows."
"PolyServe, Inc.","Beaverton, OR",Software,8901000,"Greylock Partners, New Enterprise Associates, Roda Group, The",6,Q3/06,"Develops shared data clustering software for Internet data centers."
SinglePoint (FKA: Wireless Services Corporation),"Bellevue, WA",Telecommunications,9245000,"Ignition Partners (FKA: Ignition Corporation), Intel Capital, Madrona Venture Group, Northwest Venture Associates, Inc.(FKA:Spokane Capital Mgmt), Seaport Capital, Undisclosed Venture Firm",6,Q3/06,"Provides outsourced wireless communications services."
"Site9, Inc.","Portland, OR",IT Services,1100000,Undisclosed Venture Firm,1,Q3/06,"Provides web design and internet marketing services."
Telecom Transport Management (FKA: CapBack),"Seattle, WA",Telecommunications,7000000,"Ignition Partners (FKA: Ignition Corporation), Seapoint Ventures, Trilogy Equity Partners, LLC, Undisclosed Venture Firm",4,Q3/06,"Provides wireless communications services."
"Twisted Pair Solutions, Inc.","Seattle, WA",Software,9000000,"Chart Venture Partners, Core Capital Partners, Ignition Partners (FKA: Ignition Corporation)",1,Q3/06,"Designs and builds IP-based group communications software."
"Values of n, Inc.","Portland, OR",Software,510000,"Individuals, Mountain Ventures Inc., Sherpalo Ventures, Undisclosed Investor",1,Q3/06,"Provides technological solutions for problems of groups."
"17a-4, LLC","New York, NY",Business Products and Services,1000000,"Inclusive Ventures, LLC",1,Q3/06,"Provider of email archival and compliance solutions."
"Axioma, Inc.","New York, NY",Software,2620000,"TL Ventures (FKA: Radnor Venture Partners), Undisclosed Venture Firm",2,Q3/06,"Develops software solutions for risk and investment management."
Blue Flame Data,"New York, NY",Software,1000000,"Battery Ventures, L.P.",2,Q3/06,"Develops software designed to provide insights for customer preferences."
Cirrata,"Stamford, CT",Software,700000,"Connecticut Innovations, Inc.",1,Q3/06,"Provides information management solutions for individuals & organizations."
"Crisp Wireless, Inc.","New York, NY",Telecommunications,0,Meritage Private Equity Funds,1,Q3/06,"Provides mobile applications and content management solutions."
"eFashion Solutions, LLC","Secaucus, NJ",Software,17400000,"ABS Capital Partners, Piper Jaffray Ventures, Seacoast Capital",2,Q3/06,"Provides outsourced ecommerce services to the fashion apparel market."
"Enforsys, Inc.","Roseland, NJ",Software,12500000,HSH Nordbank Kapital (FKA: Schleswig-Holsteinische),1,Q3/06,"Provides a suite of Public Safety software & services."
"Evolution Markets, Inc.","White Plains, NY",Business Products and Services,14000000,CCP Equity Partners (FKA: Conning Capital Partners),1,Q3/06,"Provides consulting and risk-management advisory services."
"Genesis Networks, Inc.","New York, NY",Telecommunications,8000000,"Longworth Venture Partners, L.P., Masthead Venture Partners",1,Q3/06,"Provides customized global video transmission services."
"M5 Networks, Inc.","New York, NY",Telecommunications,7750000,"Edison Venture Fund, Greycroft Partners, Milestone Venture Partners",1,Q3/06,"Provides outsourced IP phone system solutions."
"Magnolia Broadband, Inc.","Bedminster, NJ",Semiconductors,9999800,"Draper Fisher Jurvetson Gotham Venture Partners, ECentury Capital Partners, L.P., Grosvenor Funds, The, Intel Capital, SCP Private Equity Partners , Selway Partners, Undisclosed Investor, Western Technology Investment",8,Q3/06,"Develops fabless semiconductor radio chips for mobile phones."
"Mangrove Systems, Inc.","Wallingford, CT",Networking and Equipment,13300000,"Bessemer Venture Partners, Columbia Capital LLC, Highland Capital Partners LLC, SVM STAR Ventures Management",6,Q3/06,"Develops next generation networking platforms."
"mFormation Technologies, Inc.","Edison, NJ",Software,0,Visa International,6,Q3/06,"Provides mobile device management software."
"NMD Interactive, Inc.","New York, NY",IT Services,2900000,"FA Technology Ventures, Undisclosed Investor",1,Q3/06,"Develops and operates websites."
"OrderMotion, Inc.","New York, NY",Software,8500000,"Capital Resource Partners, Updata Partners",1,Q3/06,"Provides Software-as-a-Service (SaaS) for direct commerce companies."
Panther Express Corporation,"New York, NY",Telecommunications,6000000,"Greylock Partners, Undisclosed Venture Firm",1,Q3/06,"'Provides high-performance, low-cost content delivery solutions.'"
"Phreesia, Inc.","New York, NY",Computers and Peripherals,2500000,HLM Venture Partners,1,Q3/06,"Markets patient education system for use in physician waiting rooms."
"Portaga, Inc. (FKA: Realtime Enterprises)","White Plains, NY",Software,2300000,"Ascend Venture Group LLC, First Round Capital, Undisclosed Investor",2,Q3/06,"Develops travel management software application."
"Ranch Networks, Inc.","Morganville, NJ",Telecommunications,1000000,Undisclosed Investor,3,Q3/06,"Provides a system that integrates hardware and software infrastructure."
SeaPass Solutions Inc.,"New York, NY",Networking and Equipment,11500000,"Apropos IT Ventures, Dolphin Equity Partners, Hyperion Partners, Inter-Atlantic Group, Platinum-Neurone Ventures",2,Q3/06,"Provides advanced connectivity solutions for the insurance industry."
"Send Word Now, Inc.","New York, NY",Telecommunications,10500000,"Ascend Venture Group LLC, Undisclosed Investor",1,Q3/06,"'Provides secure, on-demand notification and incident management services.'"
"ShopWiki, Inc.","New York, NY",Software,6250000,"Generation Capital Partners, Undisclosed Venture Firm",1,Q3/06,"Provides an online shopping search engine and buying guide."
"SmartAnalyst, Inc.","New York, NY",Business Products and Services,3750000,"Edison Venture Fund, Milestone Venture Partners",1,Q3/06,"Provides outsourced custom research and analytics services."
"Tangoe, Inc.","Orange, CT",Software,8000000,"Edison Venture Fund, Undisclosed Venture Firm",4,Q3/06,"'Provides integrated, carrier neutral, web based technology solutions.'"
"TheLadders.com, Inc.","New York, NY",Business Products and Services,508000,Matrix Partners,1,Q3/06,"Provides Online job search services to recruiters and job seekers."
Cirrata,"Stamford, CT",Software,700000,"Connecticut Innovations, Inc.",1,Q3/06,"Provides information management solutions for individuals & organizations."
Blue Flame Data,"New York, NY",Software,1000000,"Battery Ventures, L.P.",2,Q3/06,"Develops software designed to provide insights for customer preferences."
"Axioma, Inc.","New York, NY",Software,2620000,"TL Ventures (FKA: Radnor Venture Partners), Undisclosed Venture Firm",2,Q3/06,"Develops software solutions for risk and investment management."
"CMWare, Inc.","Plainsboro, NJ",Telecommunications,0,Updata Partners,1,Q3/06,"Provides PC place-shifting solutions for mobile carriers."
"HardMetrics, Inc.","Doylestown, PA",Software,0,NextStage Capital,1,Q3/06,"Develops business process software."
"i3 Archive, Inc. (AKA: National Digital Medical Archive)","Berwyn, PA",Software,9053000,UMS Partners,1,Q3/06,"Manages digital medical information"
"Interactions, Inc. (AKA: Interactions Corporation)","Lawrenceville, NJ",Software,5999500,"Sigma Partners, Undisclosed Investor, Updata Partners",2,Q3/06,"Operates as a service provider to the call center market."
"Moda Technology Partners, Inc.","Fort Washington, PA",Software,2300000,Osage Investments,1,Q3/06,"Operates as a software and professional services company."
"Portico Systems, Inc. (FKA: FMG Technologies, Inc.)","Conshohocken, PA",Software,6000000,"Safeguard Scientifics, Inc.",1,Q3/06,"Develops software solutions for regional and national health plans."
Rajant Corporation,"Malvern, PA",Networking and Equipment,3250000,Battelle Ventures,2,Q3/06,"Develops wireless broadband systems and components."
"Richardson Group, The (AKA: Richardson Company, The)","Philadelphia, PA",Business Products and Services,0,"CapitalSource Holdings, Inc., ClearLight Partners, LLC",3,Q3/06,"Provides sales training and consulting services."
"Weather Trends International, Inc.","Bethlehem, PA",Business Products and Services,4500000,"Cooley Godward LLP, Kodiak Venture Partners, Undisclosed Corporate Investor",1,Q3/06,"Provides weather forecasting to manage business risks."
KeyEye Communications,"Sacramento, CA",Semiconductors,12944000,"American River Ventures, Blueprint Ventures LLC, Capital Valley Ventures LLC, Menlo Ventures, Undisclosed Corporate Investor",4,Q3/06,"Develops multi-gigabit communications and mixed-signal integrated circuits."
"CaseRev, Inc.","Poway, CA",Retailing/Distribution,4000000,"Miramar Venture Partners , Rustic Canyon Partners(FKA: TMCT Ventures, L.P.)",2,Q3/06,"Develops online litigation and vendor management systems."
"CEYX Technologies, Inc.","San Diego, CA",Software,2500000,"Shepherd Ventures, Stone Canyon Venture Partners (SCVP), Tech Coast Angels (AKA: TCA)",3,Q3/06,"Develops software-enabled control systems for light emitting devices."
ParAccel,"San Diego, CA",Software,7500000,"Bay Partners, Undisclosed Venture Firm",1,Q3/06,"Develops data warehousing software."
"Quorum Systems, Inc.","San Diego, CA",Semiconductors,25000100,"Band of Angels, Crescendo Venture Management LLC, Enterprise Partners Venture Capital (AKA: EPVC), Greylock Partners, Kleiner Perkins Caufield & Byers",3,Q3/06,"Operates as a fabless semiconductor company."
Service-now.com,"Solana Beach, CA",IT Services,5000000,JMI Equity,2,Q3/06,"'Provides on demand, web-native, IT Service Management solution.'"
"Staccato Communications, Inc. (FKA: DiscreteTime Comm.)","San Diego, CA",Telecommunications,30214000,"Bay Partners, Formative Ventures, InterWest Partners",5,Q3/06,"Develops ultrawideband (UWB) and Wireless USB communications components."
"V-ENABLE, Inc.","San Diego, CA",Software,1500000,Tech Coast Angels (AKA: TCA),4,Q3/06,"Develops software for wireless devices."
"Xifin, Inc. (FKA: Medical Business Applications (MBA), Inc.)","San Diego, CA",Software,1000000,"Boulder Ventures, Ltd., Enterprise Partners Venture Capital (AKA: EPVC), Windward Ventures",7,Q3/06,"Provides financial management systems for clinical labs."
**CONFIDENTIAL**,"Santa Clara, CA",Semiconductors,3999900,"Draper Fisher Jurvetson (FKA: Draper Associates), Draper Richards L.P., Individuals",2,Q3/06,"**CONFIDENTIAL**"
"3Leaf Networks, Inc.","Santa Clara, CA",Software,20000000,"Alloy Ventures, Enterprise Partners Venture Capital (AKA: EPVC), Intel Capital, Undisclosed Venture Firm",3,Q3/06,"Develops systems software and IC's for the enterprise servers markets."
Active Optical MEMS,"Fremont, CA",Networking and Equipment,1300000,"Noventi (FKA: Cypress Ventures) (FKA: CIR Ventures), Undisclosed Venture Firm",1,Q3/06,"Manufactures optical switches and supporting technology."
"Adaptive Planning, Inc.","Mountain View, CA",Software,2175000,ONSET Ventures,3,Q3/06,"Develops an alternative to spreadsheet-based financial reporting methods."
"AdRoll, Inc.","San Francisco, CA",Telecommunications,605000,"True Ventures, Undisclosed Investor",1,Q3/06,"Provides video streaming ad network with behavioral targeting capabilities."
"Aeluros, Inc.","Mountain View, CA",Semiconductors,7969000,"Hermes Private Equity Management Limited, Mitsui & Co. Venture Partners (MCVP), New Enterprise Associates, Worldview Technology Partners",3,Q3/06,"Develops front-end physical layer integrated circuits."
"Aerohive Networks, Inc.","Santa Clara, CA",Telecommunications,4000000,"Northern Light Venture Capital, Undisclosed Venture Firm",1,Q3/06,"'Designs, develops, and manufactures wireless solutions.'"
"Aeroprise, Inc. (FKA: Kwaish)","Mountain View, CA",Software,1500000,vSpring Capital,1,Q3/06,"Develops Mobile Service Management software."
"AMIMON, Inc.","Santa Clara, CA",Semiconductors,14000000,"Argonaut Partners, LLC, Cedar Fund, Evergreen Venture Partners, Stata Venture Partners, Walden Israel",2,Q3/06,"Operates a fabless semiconductor company servicing high-definition (HD)TV's"
"Aperto Networks, Inc.","Milpitas, CA",Telecommunications,832000,Labrador Ventures,8,Q3/06,"Develops and provides broadband wireless access systems."
"Arcwave, Inc. (FKA: CoWave Networks, Inc.)","Los Gatos, CA",Telecommunications,2000000,"Band of Angels, Undisclosed Venture Firm",6,Q3/06,"Develops products and services to facilitate wireless communications."
"ARIO Data Networks, Inc.","San Jose, CA",Computers and Peripherals,8000000,"Anthem Venture Partners, Clearstone Venture Partners (FKA: idealab! Capital Partners), Evercore Partners, Mellon Ventures, Inc., Partech International, Sunsino Ventures Group (FKA: Sunsino Development Associate), Triton Management Corporation, Undisclosed",4,Q3/06,"Provides OEMs essential building blocks for storage subsystems solutions."
"Atrenta, Inc.","San Jose, CA",Software,13648100,"Investcorp, Investor Growth Capital, Inc., TL Ventures (FKA: Radnor Venture Partners), Venrock Associates",5,Q3/06,"Provides collaborative software tools for the design of electronic products"
"Atto Devices, Inc.","Palo Alto, CA",Computers and Peripherals,3000000,"ComVentures (AKA: Communications Ventures), Foundation Capital",1,Q3/06,"Next-generation desktop platform."
"Availigent, Inc.","San Jose, CA",Software,6500100,"Diamondhead Ventures, L.P., Intel Capital, Smart Technology Ventures",2,Q3/06,"Provides an application virtualization software for Linux platforms."
"Avolent, Inc. (FKA: Just In Time Solutions)","San Francisco, CA",Software,9000000,"Columbia Capital LLC, Constellation Ventures, Norwest Venture Partners , RBC Capital Partners/RBC Technology Ventures, Rho Ventures (AKA: RHO Management)",10,Q3/06,"'Provides Internet billing, invoicing and interactive customer care software'"
"Beceem Communications, Inc.","Santa Clara, CA",Semiconductors,27099900,"Global Catalyst Partners, Sequoia Capital, VentureTech Alliance LLC, Walden International",5,Q3/06,"Designs and develops semiconductor solutions."
"Bivio Networks, Inc. (FKA: Network Robots, Inc.)","Pleasanton, CA",Networking and Equipment,8534000,"Goldman, Sachs & Co., InterWest Partners, Silver Creek Technology Investors (FKA: ODonnell & Masur), Storm Ventures, Venrock Associates",10,Q3/06,"Develops a platform for next generation Internet services."
"BlackArrow, Inc.","San Mateo, CA",Software,1756000,Polaris Venture Partners,4,Q3/06,"Provides solutions for the management of enhanced television ads."
BMG Seltec,"Livermore, CA",Software,6000000,"DFJ Element, L.P.",2,Q3/06,"Provides electronic control systems and business systems."
"BoardVantage, Inc.","Menlo Park, CA",Software,5500000,"Bay Partners, Foundation Capital",4,Q3/06,"Provides corporate governance software platforms and consultation services."
"Box.Net, Inc.","Berkeley, CA",IT Services,1500000,Draper Fisher Jurvetson (FKA: Draper Associates),1,Q3/06,"Provides an online storage solution."
"Business Engine, Inc. (FKA: Business Engine Corporation)","San Francisco, CA",Software,300000,Morgan Stanley Venture Partners (AKA: MSDW),6,Q3/06,"Provides enterprise application software."
"Calient Networks, Inc. (FKA: ChromiSys, Inc.)","San Jose, CA",Networking and Equipment,10000100,"Allianz Private Equity Partners, Enterprise Partners Venture Capital (AKA: EPVC), Sofinnova Ventures, TeleSoft Partners",6,Q3/06,"Develops all-photonic switching systems and software."
"Cavium Networks, Inc.","Mountain View, CA",Semiconductors,8700000,"Alliance Venture Management, LLC, Diamondhead Ventures, L.P., Menlo Ventures, NeoCarta Ventures, Inc., Undisclosed Investor",5,Q3/06,"'Provides semiconductor solutions for security, content and network service.'"
Sylantro Systems Corporation,"Campbell, CA",Software,3986000,Vanguard Ventures,6,Q3/06,"Provides voice & data services using IP telephony standards."
"SpikeSource, Inc.","Redwood City, CA",Software,7000000,"CMEA Ventures (FKA:Chemicals & Materials Enterprise Associa), Duff Ackerman & Goodrich LLC, Fidelity Ventures , Kleiner Perkins Caufield & Byers",5,Q3/06,"Provides open-source software services."
"SoonR, Inc.","Campbell, CA",Telecommunications,1509000,"Clearstone Venture Partners (FKA: idealab! Capital Partners), Individuals, Intel Capital, Thomvest Ventures, Undisclosed Investor",2,Q3/06,"Provides mobile access to PC-based information."
Sonopia Corporation,"Menlo Park, CA",Telecommunications,0,"ComVentures (AKA: Communications Ventures), Sevin Rosen Funds (AKA: Sevin Rosen Management Co.)",2,Q3/06,"'Designs client, server and services technologies for mobile subscribers.'"
Solsoft Inc (AKA: Solsoft SA),"Mountain View, CA",Software,162000,"Carlyle Group, The",8,Q3/06,"Develops network security policy management solutions."
"Skyrider, Inc.","Mountain View, CA",Software,8000100,"Charles River Ventures, ComVentures (AKA: Communications Ventures), Sequoia Capital",1,Q3/06,"Develops Peer to Peer (P2P) networking platform."
"SiLEGO Technology, Inc.","Santa Clara, CA",Semiconductors,3000000,"Storm Ventures, U.S. Venture Partners",4,Q3/06,"Operates as a fabless semiconductor components company."
"SiBEAM, Inc. (FKA: Silicon Microwave Systems)","Sunnyvale, CA",Semiconductors,21000000,"Foundation Capital, New Enterprise Associates, U.S. Venture Partners",3,Q3/06,"Develops semiconductor systems solutions for wireless communications."
"Sennari Entertainment, Inc.","Cupertino, CA",Telecommunications,10000000,"Blacksmith Capital, Mayfield Fund, Novak Biddle Venture Partners, L.P., UV Partners (AKA: Utah Ventures)",3,Q3/06,"Provides mobile phone and infrastructure solutions."
"Sehda, Inc.","Sunnyvale, CA",Telecommunications,750000,"Band of Angels, Undisclosed Venture Firm",1,Q3/06,"Develops technology to enable communication between different languages."
"Satori Labs, Inc.","Scotts Valley, CA",Software,1500000,"Band of Angels, Undisclosed Venture Firm",1,Q3/06,"Develops digital pen and paper solutions for forms automation."
"RingThree Technologies, Inc. (AKA: RingCube Technologies)","Mountain View, CA",Software,2025000,"New Enterprise Associates, Undisclosed Venture Firm",2,Q3/06,"Develops a portable personal computing solution."
"3Leaf Networks, Inc.","Santa Clara, CA",Software,20000000,"Alloy Ventures, Enterprise Partners Venture Capital (AKA: EPVC), Intel Capital, Undisclosed Venture Firm",3,Q3/06,"Develops systems software and IC's for the enterprise servers markets."
"RevCube Media, Inc. (FKA: Adapt Advertising, Inc.)","San Francisco, CA",Software,14000100,"Generation Capital Partners, Trans Cosmos USA, VantagePoint Venture Partners",2,Q3/06,"Provides online customer acquisition technology and services."
Replay Solutions LLC,"Foster City, CA",Software,4000000,"Hummer Winblad Venture Partners, Undisclosed Venture Firm",1,Q3/06,"Develops testing automation solutions."
"Real Girls Media Network, Inc.","San Rafael, CA",IT Services,3004000,"3i (US), WaldenVC",1,Q3/06,"Operates an Internet content company."
"Raza Microelectronics, Inc.","Cupertino, CA",Semiconductors,8000000,"Advanced Micro Devices, Inc. (AKA: AMD), Warburg Pincus LLC",9,Q3/06,"Develops microelectronics products."
"RapLeaf, Inc.","San Francisco, CA",Retailing/Distribution,1340000,"Founders Fund, The, Undisclosed Investor",1,Q3/06,"Operates portable ratings for Ecommerce."
Questra Corporation,"Redwood City, CA",Software,7342000,"Menlo Ventures, SAP Ventures",6,Q3/06,"Develops A2B (Asset-to-Business) software and services."
"Provade, Inc. (FKA: Provade Technologies, Inc.)","San Mateo, CA",Software,5120000,"Altos Ventures, Undisclosed Investor",2,Q3/06,"Provides outsourced procurement solutions."
"ProtoStar, Ltd.","San Francisco, CA",Telecommunications,35690000,"New Enterprise Associates, RedShift Ventures (FKA: SpaceVest Capital), VantagePoint Venture Partners",2,Q3/06,"Operates and acquires high-power geostationary satellites."
Postini Corporation,"San Carlos, CA",Software,356000,Mobius Venture Capital (FKA: SOFTBANK Venture Capital),5,Q3/06,"Develops email security and management solutions for the enterprise."
"PortAuthority Technologies (FKA: Vidius, Inc.)","Palo Alto, CA",Software,18000000,"CAP Ventures Ltd, Greylock Partners, Lexington Commercial Holdings, New Enterprise Associates, Sequoia Capital, Undisclosed Corporate Investor",4,Q3/06,"Develops software that protects private and confidential data."
"Plato Networks, Inc.","Santa Clara, CA",Semiconductors,1053000,Crosslink Capital (FKA: Omega Venture Partners),4,Q3/06,"Develops fabless Ethernet PHY chips and single-chip CMOS 10GBASE-T PHY."
"Platform Solutions, Inc.","Sunnyvale, CA",Computers and Peripherals,4375200,"Blueprint Ventures LLC, Goldman, Sachs & Co., Intel Capital, InterWest Partners",3,Q3/06,"Provides plug compatible manufacture servers for mainframe applications."
"PeakStream, Inc. (FKA: Shakti Computer Systems, Inc.)","Redwood City, CA",Software,17000000,"Foundation Capital, Kleiner Perkins Caufield & Byers, Sequoia Capital",3,Q3/06,"Develops software platform for next-generation computing."
"Pathworks Software Corporation (FKA: Ambient Software, Inc.)","Mountain View, CA",Software,1600000,"Foundation Capital, Undisclosed Venture Firm",2,Q3/06,"Develops enterprise software to track internal control activities."
"PacketMotion, Inc.","San Jose, CA",Software,5970000,"Intel Capital, Mohr Davidow Ventures, ONSET Ventures",4,Q3/06,"Develops enterprise security software."
"Packet Design, Inc.","Palo Alto, CA",Networking and Equipment,7500100,"Advanced Technology Ventures (AKA: ATV), Allegis Capital (AKA: Media Technology Ventures), Masthead Venture Partners , Mayfield Fund, Packet Design LLC",3,Q3/06,"Develops a family of network appliances for IP networks."
"OpSource, Inc.","Santa Clara, CA",Networking and Equipment,20000000,"Artiman Ventures, ComVentures (AKA: Communications Ventures), Intel Capital, Key Venture Partners",4,Q3/06,"Develops a scalable enterprise infrastructure operations platform."
"Ocean Broadband Networks, Ltd.","Sunnyvale, CA",Telecommunications,2000000,"Atlas Venture, Ltd., Motorola Ventures",1,Q3/06,"'Provides voice, data, and video broadband access.'"
"NextHop Technologies, Inc.","Mountain View, CA",Networking and Equipment,2000000,"Labrador Ventures, New Enterprise Associates, Undisclosed Venture Firm",7,Q3/06,"Develops routing protocols and related technologies."
"Nethra Imaging, Inc.","Cupertino, CA",Computers and Peripherals,2919000,"Alliance Venture Management, LLC, Artiman Ventures",3,Q3/06,"Develops imaging solutions for consumer electronic devices."
"Neterion, Inc. (FKA: S2io, Inc.)","Cupertino, CA",Computers and Peripherals,5000000,"Business Development Bank of Canada(AKA:BDC Venture Capital), JAFCO Ventures, Menlo Ventures, VenGrowth Capital Funds",5,Q3/06,"Provides server and data storage products."
"Neopolitan Networks, Inc.","Palo Alto, CA",Telecommunications,2744000,"Oakstone Venture Partners, Undisclosed Investor",1,Q3/06,"Provides Gigabit Ethernet network services."
"NebuAd, Inc.","Sunnyvale, CA",Retailing/Distribution,5500000,Menlo Ventures,1,Q3/06,"Advertising technology for ISPs."
"Narus, Inc. (FKA: Irrupt, Inc.)","Mountain View, CA",IT Services,3000000,"Panorama Capital, Undisclosed Non Venture Firm",11,Q3/06,"Develops business infrastructure systems and software."
"Nanoconduction, Inc.","Sunnyvale, CA",Semiconductors,15000000,"JVP (FKA: Jerusalem Venture Partners), Undisclosed Venture Firm",2,Q3/06,"Provides thermal chips based on NASA technology."
"NComputing, Inc.","San Jose, CA",Computers and Peripherals,8000000,BA Venture Partners (AKA: BankAmerica Ventures),1,Q3/06,"Operates as a privately-held technology design and manufacturing company"
"KnowNow, Inc.","Sunnyvale, CA",Software,12500000,"Kleiner Perkins Caufield & Byers, Palomar Ventures",7,Q3/06,"Develops application internetworking software for real-time info exchange."
"Kilopass Technology, Inc.","Santa Clara, CA",Semiconductors,7749900,"BlueRun Ventures (FKA: Nokia Venture Partners ), Pitango Venture Capital (FKA:Polaris Venture Capital Israel), U.S. Venture Partners, iGlobe Partners Limited",4,Q3/06,"Develops non-volatile memory technology."
"Kazeon Systems, Inc.","Mountain View, CA",Software,21000000,"Clearstone Venture Partners (FKA: idealab! Capital Partners), Focus Ventures (FKA: Charter Growth Capital), Goldman, Sachs & Co., Menlo Ventures, Redpoint Ventures",5,Q3/06,"Develops server-based software solutions."
"KLP International, Ltd.","Santa Clara, CA",Retailing/Distribution,7000200,"BlueRun Ventures (FKA: Nokia Venture Partners ), Crosslink Capital (FKA: Omega Venture Partners), InveStar Capital, Inc., iGlobe Partners Limited",1,Q3/06,"Online sales of motorsport equipment."
"Jasper Systems, Inc. (AKA: Jasper Wireless, Inc.)","Mountain View, CA",Telecommunications,20600000,"Benchmark Capital, Sequoia Capital",1,Q3/06,"Provides wireless data services."
